GID,SIFRA_KO,BROJ,POVRSINA
"1","316580","695",256.000000000000000
"2","316580","680",391.000000000000000
"3","316580","670",5541.000000000000000
"4","316580","652",1685.000000000000000
"5","316580",651/1,1954.000000000000000
"6","316580","1188",6993.000000000000000
"7","316580",651/2,66.000000000000000
"8","316580","858",576.000000000000000
"9","316580",866/7,2757.000000000000000
"10","316580",649/1,922.000000000000000
"11","316580","700",256.000000000000000
"12","316580","694",251.000000000000000
"13","316580","660",28.000000000000000
"14","316580","1166",16425.000000000000000
"15","316580","368",2962.000000000000000
"16","316580","701",257.000000000000000
"17","316580",718/6,17.000000000000000
"18","316580",718/22,18.000000000000000
"19","316580",718/5,18.000000000000000
"20","316580",718/21,19.000000000000000
"21","316580",718/4,19.000000000000000
"22","316580",718/20,20.000000000000000
"23","316580",718/3,17.000000000000000
"24","316580",718/19,18.000000000000000
"25","316580",718/2,19.000000000000000
"26","316580",718/18,20.000000000000000
"27","316580",718/8,18.000000000000000
"28","316580",718/17,19.000000000000000
"29","316580",718/9,19.000000000000000
"30","316580",718/16,20.000000000000000
"31","316580",718/10,17.000000000000000
"32","316580",718/15,18.000000000000000
"33","316580",718/11,18.000000000000000
"34","316580",718/14,19.000000000000000
"35","316580",718/12,18.000000000000000
"36","316580",718/13,19.000000000000000
"37","316580",718/25,18.000000000000000
"38","316580",718/24,19.000000000000000
"39","316580",714/1,3133.000000000000000
"40","316580","707",526.000000000000000
"41","316580",714/2,69.000000000000000
"42","316580","689",2230.000000000000000
"43","316580","715",1280.000000000000000
"44","316580","826",55.000000000000000
"45","316580",831/1,787.000000000000000
"46","316580","857",4259.000000000000000
"47","316580","818",1786.000000000000000
"48","316580","716",514.000000000000000
"49","316580","1189",2964.000000000000000
"50","316580","827",406.000000000000000
"51","316580",703/1,6229.000000000000000
"52","316580",703/2,75.000000000000000
"53","316580","696",250.000000000000000
"54","316580","823",355.000000000000000
"55","316580","824",353.000000000000000
"56","316580","698",257.000000000000000
"57","316580",866/15,1533.000000000000000
"58","316580",866/1,914.000000000000000
"59","316580",861/1,373.000000000000000
"60","316580",861/3,1677.000000000000000
"61","316580","699",254.000000000000000
"62","316580","693",253.000000000000000
"63","316580","702",259.000000000000000
"64","316580","692",255.000000000000000
"65","316580","641",253.000000000000000
"66","316580","638",1400.000000000000000
"67","316580",67/1,789.000000000000000
"68","316580",66/2,382.000000000000000
"69","316580","68",18.000000000000000
"70","316580","2019",1070.000000000000000
"71","316580","2018",1160.000000000000000
"72","316580",291/2,2149.000000000000000
"73","316580",291/1,11223.000000000000000
"74","316580",1530/6,20326.000000000000000
"75","316580","1539",302.000000000000000
"76","316580",1546/1,2964.000000000000000
"77","316580","1544",646.000000000000000
"78","316580",1533/1,5467.000000000000000
"79","316580","1814",222.000000000000000
"80","316580",1171/1,648.000000000000000
"81","316580",1468/2,20124.000000000000000
"82","316580",1483/2,10824.000000000000000
"83","316580",1545/3,2578.000000000000000
"84","316580",1545/2,1703.000000000000000
"85","316580",1545/1,5758.000000000000000
"86","316580",1530/4,3647.000000000000000
"87","316580",2/7,852.000000000000000
"88","316580",5/5,791.000000000000000
"89","316580","1473",4558.000000000000000
"90","316580","1475",1947.000000000000000
"91","316580","1563",102598.000000000000000
"92","316580","2121",16135.000000000000000
"93","316580","1813",8853.000000000000000
"94","316580",1491/1,127672.000000000000000
"95","316580","441",4678.000000000000000
"96","316580","1490",100874.000000000000000
"97","316580","1484",3184.000000000000000
"98","316580",1483/1,8473.000000000000000
"99","316580","424",1936.000000000000000
"100","316580","423",258.000000000000000
"101","316580",425/1,7174.000000000000000
"102","316580","437",21573.000000000000000
"103","316580","1818",322.000000000000000
"104","316580","1471",83529.000000000000000
"105","316580","1472",2049.000000000000000
"106","316580","1476",88.000000000000000
"107","316580","1478",1146.000000000000000
"108","316580",1514/1,1787.000000000000000
"109","316580",1514/2,98.000000000000000
"110","316580",1529/3,2.000000000000000
"111","316580",1529/2,13.000000000000000
"112","316580","1494",635.000000000000000
"113","316580",1491/3,168.000000000000000
"114","316580","1498",789.000000000000000
"115","316580","1499",637.000000000000000
"116","316580","1500",796.000000000000000
"117","316580","1501",817.000000000000000
"118","316580","1505",809.000000000000000
"119","316580","1506",727.000000000000000
"120","316580",5/10,115.000000000000000
"121","316580",2/9,88.000000000000000
"122","316580",2/10,69.000000000000000
"123","316580",5/4,810.000000000000000
"124","316580",5/3,811.000000000000000
"125","316580",5/1,2308.000000000000000
"126","316580",2/2,508.000000000000000
"127","316580",2/3,460.000000000000000
"128","316580",1529/1,244.000000000000000
"129","316580","1527",580.000000000000000
"130","316580",2/13,60.000000000000000
"131","316580",2/6,304.000000000000000
"132","316580",5/18,455.000000000000000
"133","316580",1530/7,4222.000000000000000
"134","316580",1542/4,1608.000000000000000
"135","316580",1542/3,1647.000000000000000
"136","316580",1542/2,2264.000000000000000
"137","316580",1525/3,109.000000000000000
"138","316580",1525/2,36.000000000000000
"139","316580","1520",838.000000000000000
"140","316580","1519",856.000000000000000
"141","316580","1518",861.000000000000000
"142","316580","1517",78.000000000000000
"143","316580","1516",749.000000000000000
"144","316580",1530/8,4089.000000000000000
"145","316580","1512",827.000000000000000
"146","316580","1513",839.000000000000000
"147","316580","1511",832.000000000000000
"148","316580","1510",831.000000000000000
"149","316580",2/4,548.000000000000000
"150","316580","1524",81.000000000000000
"151","316580","1",280.000000000000000
"152","316580","124",2808.000000000000000
"153","316580","115",2502.000000000000000
"154","316580","114",1036.000000000000000
"155","316580","116",2322.000000000000000
"156","316580","117",692.000000000000000
"157","316580",1174/3,85.000000000000000
"158","316580",69/3,195.000000000000000
"159","316580",141/4,465.000000000000000
"160","316580",141/3,222.000000000000000
"161","316580",134/5,620.000000000000000
"162","316580",134/3,61.000000000000000
"163","316580",1670/17,946.000000000000000
"164","316580",1670/18,722.000000000000000
"165","316580","1675",942.000000000000000
"166","316580","1677",622.000000000000000
"167","316580","1997",2799.000000000000000
"168","316580","247",1302.000000000000000
"169","316580","258",82009.000000000000000
"170","316580",164/4,126.000000000000000
"171","316580",164/3,3.000000000000000
"172","316580",328/3,230.000000000000000
"173","316580",328/1,297.000000000000000
"174","316580",328/2,212.000000000000000
"175","316580","332",3139.000000000000000
"176","316580",329/1,301.000000000000000
"177","316580",330/1,2163.000000000000000
"178","316580",329/5,174.000000000000000
"179","316580",1174/18,187.000000000000000
"180","316580",1174/19,20.000000000000000
"181","316580","335",387.000000000000000
"182","316580",327/9,167.000000000000000
"183","316580",313/1,2487.000000000000000
"184","316580",302/1,760.000000000000000
"185","316580",327/3,9090.000000000000000
"186","316580",1179/1,16578.000000000000000
"187","316580",349/11,129.000000000000000
"188","316580",1174/23,40.000000000000000
"189","316580",349/4,264.000000000000000
"190","316580",349/33,6.000000000000000
"191","316580","2041",685.000000000000000
"192","316580","2003",425.000000000000000
"193","316580","2002",1579.000000000000000
"194","316580","2046",885.000000000000000
"195","316580","2043",715.000000000000000
"196","316580","1988",1066.000000000000000
"197","316580","1987",1053.000000000000000
"198","316580",2067/8,102.000000000000000
"199","316580","2066",188.000000000000000
"200","316580",2111/1,2080.000000000000000
"201","316580",2112/1,1427.000000000000000
"202","316580",2109/4,748.000000000000000
"203","316580",2109/6,72.000000000000000
"204","316580","1683",999.000000000000000
"205","316580",1680/4,474.000000000000000
"206","316580","249",1064.000000000000000
"207","316580","440",1517.000000000000000
"208","316580",176/3,1092.000000000000000
"209","316580",176/1,1446.000000000000000
"210","316580",177/1,1605.000000000000000
"211","316580",174/1,186.000000000000000
"212","316580",175/2,213.000000000000000
"213","316580",175/4,223.000000000000000
